total,SD,not SD,timestep
28,3,25,0
28,3,25,1
28,3,25,2
32,3,29,3
37,3,34,4
48,11,37,5
56,16,40,6
68,19,49,7
74,21,53,8
83,25,58,9
94,27,67,10
105,33,72,11
111,36,75,12
118,39,79,13
128,44,84,14
115,32,83,15
124,38,86,16
130,41,89,17
133,44,89,18
131,44,87,19
126,41,85,20
121,42,79,21
119,44,75,22
116,47,69,23
113,47,66,24
106,46,60,25
107,47,60,26
103,45,58,27
97,46,51,28
85,38,47,29
82,36,46,30
81,36,45,31
75,37,38,32
68,31,37,33
66,28,38,34
59,27,32,35
60,26,34,36
58,27,31,37
53,25,28,38
51,24,27,39
46,25,21,40
44,24,20,41
43,23,20,42
41,22,19,43
39,18,21,44
30,12,18,45
29,12,17,46
27,12,15,47
23,10,13,48
24,10,14,49
19,7,12,50
